date,y_actual,y_hat,error,CV,IVar,VP
2018-02-12,15.7047329514016,11.991198891341725,3.7135340600598745,11.991198891341725,54.656008333333325,42.6648094419916
2018-02-13,15.268987891089328,7.370174065776154,7.898813825313174,7.370174065776154,51.958408333333324,44.58823426755717
2018-02-14,14.395799016659616,9.194991971447026,5.20080704521259,9.194991971447026,30.912300000000005,21.717308028552978
2018-02-15,14.27990149550023,7.697629165957646,6.582272329542584,7.697629165957646,30.49640833333333,22.798779167375685
2018-02-16,13.833699526878899,8.050597099182973,5.783102427695926,8.050597099182973,31.55763333333334,23.507036234150366
2018-02-19,14.39812271604992,9.248980321530542,5.149142394519378,9.248980321530542,31.55763333333334,22.308653011802797
2018-02-20,14.867573697395148,9.473861676940308,5.39371202045484,9.473861676940308,35.36333333333334,25.889471656393027
2018-02-21,15.613384128012566,9.631681041874247,5.981703086138319,9.631681041874247,33.40003333333333,23.768352291459088
2018-02-22,15.777264027458173,9.417575906052367,6.3596881214058065,9.417575906052367,29.203199999999995,19.78562409394763
2018-02-23,17.1499281596873,8.843897860873273,8.306030298814026,8.843897860873273,22.660008333333327,13.816110472460053
2018-02-26,19.581651192825042,8.240393558003516,11.341257634821526,8.240393558003516,20.803333333333335,12.562939775329818
2018-02-27,19.649751851656255,7.822111073166654,11.827640778489602,7.822111073166654,28.799008333333333,20.97689726016668
2018-02-28,20.619650320993816,8.632931798595255,11.986718522398562,8.632931798595255,32.835208333333334,24.20227653473808
2018-03-01,20.0699434986839,8.218566152739239,11.851377345944663,8.218566152739239,42.07507499999999,33.856508847260756
2018-03-02,20.179846735898487,10.15530575416334,10.024540981735147,10.15530575416334,31.980675,21.82536924583666
2018-03-05,20.382701969328128,8.326729905685102,12.055972063643026,8.326729905685102,29.234408333333334,20.907678427648232
2018-03-06,21.37222060621631,7.015663521538066,14.356557084678244,7.015663521538066,28.090799999999998,21.075136478461932
2018-03-07,21.604655765474057,6.168111144101971,15.436544621372086,6.168111144101971,26.284800000000004,20.116688855898033
2018-03-08,22.281239856398614,5.598202101287498,16.683037755111116,5.598202101287498,22.797633333333334,17.199431232045836
2018-03-09,22.889876161839343,4.196420838844364,18.69345532299498,4.196420838844364,17.8608,13.664379161155637
2018-03-12,23.08792565126106,2.4098341094502214,20.678091541810836,2.4098341094502214,20.7507,18.34086589054978
2018-03-13,23.248402721783226,2.9637940581472595,20.284608663635964,2.9637940581472595,22.276875000000004,19.313080941852746
2018-03-14,22.929802081041302,4.580062654536446,18.349739426504854,4.580062654536446,24.739408333333333,20.15934567879689
2018-03-15,22.779308941054914,4.886773373613169,17.892535567441747,4.886773373613169,22.935675,18.04890162638683
2018-03-16,22.779711609175244,3.825814898986559,18.953896710188687,3.825814898986559,20.803333333333335,16.977518434346777
2018-03-19,22.507592740936673,3.72240585513833,18.785186885798343,3.72240585513833,30.1467,26.42429414486167
2018-03-20,22.721896966700616,5.668158816832709,17.053738149867907,5.668158816832709,27.603333333333328,21.93517451650062
2018-03-21,22.42770618712322,5.452192328030914,16.975513859092306,5.452192328030914,26.581633333333333,21.129441005302418
2018-03-22,22.825365006796154,6.633817167294546,16.19154783950161,6.633817167294546,45.3963,38.76248283270545
2018-03-23,22.2517911843376,9.815863788060872,12.435927396276726,9.815863788060872,51.54307500000001,41.727211211939135
2018-03-26,21.582603465640055,11.821833173940703,9.760770291699352,11.821833173940703,36.85507500000001,25.033241826059303
2018-03-27,20.164806452737224,10.195946218511818,9.968860234225406,10.195946218511818,42.1875,31.991553781488182
2018-03-28,17.85308476187071,12.248027724971415,5.6050570368992965,12.248027724971415,43.58640833333334,31.338380608361923
2018-03-29,17.367349193633558,14.984272867290827,2.3830763263427315,14.984272867290827,33.23340833333333,18.249135466042503
2018-04-02,16.04341224688318,10.747811262431302,5.295600984451877,10.747811262431302,46.49203333333333,35.744222070902026
2018-04-03,15.183031868404218,13.768900005390167,1.4141318630140507,13.768900005390167,37.100833333333334,23.33193332794317
2018-04-04,14.262765614582332,13.105330516845331,1.1574350977370003,13.105330516845331,33.53363333333333,20.428302816487996
2018-04-05,13.6621573839299,11.930494326840885,1.7316630570890155,11.930494326840885,29.893633333333337,17.963139006492455
2018-04-06,12.664266794451235,11.114332279705026,1.5499345147462087,11.114332279705026,38.485008333333326,27.3706760536283
2018-04-09,12.22192129074551,13.384752081755874,-1.1628307910103644,13.384752081755874,39.49440833333333,26.10965625157746
2018-04-10,11.295164472433859,12.241936485989545,-0.9467720135556856,12.241936485989545,34.918408333333325,22.67647184734378
2018-04-11,10.72109775223648,13.37913487546957,-2.6580371232330897,13.37913487546957,34.13813333333333,20.75899845786376
2018-04-12,10.360173110606128,13.143217362563353,-2.783044251957225,13.143217362563353,28.490008333333332,15.346790970769979
2018-04-13,10.061159388809859,12.604864468995988,-2.543705080186129,12.604864468995988,25.25900833333333,12.654143864337343
2018-04-16,9.887174081846718,13.285321039666437,-3.398146957819719,13.285321039666437,22.8528,9.567478960333561
2018-04-17,9.934857871788514,12.614723552988899,-2.6798656812003845,12.614723552988899,19.380208333333332,6.765484780344433
2018-04-18,9.944723777706935,12.363526205528755,-2.41880242782182,12.363526205528755,20.279999999999998,7.916473794471242
2018-04-19,9.763519149857132,12.899824548679108,-3.1363053988219765,12.899824548679108,21.2268,8.326975451320893
2018-04-20,9.362343006420986,13.40686660734097,-4.044523600919984,13.40686660734097,23.744533333333333,10.337666725992364
2018-04-23,9.279945840289425,14.247177397851502,-4.9672315575620765,14.247177397851502,22.249633333333332,8.00245593548183
2018-04-24,8.141949962462524,13.794666991109182,-5.6527170286466575,13.794666991109182,27.060033333333333,13.265366342224151
2018-04-25,7.312015461268842,16.341320485109254,-9.029305023840411,16.341320485109254,26.522133333333333,10.180812848224079
2018-04-26,6.881630311431433,14.727318374823081,-7.845688063391648,14.727318374823081,21.97813333333333,7.250814958510247
2018-04-27,7.125676422398238,12.884096230074583,-5.758419807676345,12.884096230074583,19.78900833333333,6.904912103258749
2018-04-30,6.873758673394607,11.951139909705383,-5.077381236310775,11.951139909705383,21.147074999999997,9.195935090294615
2018-05-01,6.852800873395548,11.319606943250479,-4.466806069854931,11.319606943250479,19.995008333333335,8.675401390082856
2018-05-02,6.568428730646594,11.471562966141963,-4.9031342354953695,11.471562966141963,21.253408333333336,9.781845367191373
2018-05-03,5.6868451975001095,11.292551086787416,-5.605705889287306,11.292551086787416,21.0675,9.774948913212583
2018-05-04,5.4268430153804355,11.76408605632666,-6.337243040946224,11.76408605632666,18.17940833333333,6.415322277006672
2018-05-07,5.331198028528082,9.901737207062036,-4.570539178533954,9.901737207062036,18.130208333333332,8.228471126271296
2018-05-08,5.17981101360912,9.352284946185911,-4.172473932576791,9.352284946185911,18.032008333333334,8.679723387147423
2018-05-09,5.021633700824851,9.390750477534521,-4.36911677670967,9.390750477534521,15.008033333333332,5.617282855798811
2018-05-10,4.919057837937106,8.57320157254734,-3.6541437346102343,8.57320157254734,14.586075000000001,6.012873427452661
2018-05-11,4.7974291226801835,8.254448917089054,-3.45701979440887,8.254448917089054,13.335208333333334,5.08075941624428
2018-05-14,4.818887762835381,8.023387086979332,-3.204499324143951,8.023387086979332,13.932075,5.9086879130206675
2018-05-15,4.562553403762727,7.82115704297458,-3.258603639211853,7.82115704297458,17.836408333333335,10.015251290358755
2018-05-16,4.578829846255477,8.575567593686026,-3.996737747430549,8.575567593686026,15.008033333333332,6.432465739647306
2018-05-17,4.519526875398969,7.854766119302809,-3.33523924390384,7.854766119302809,15.030408333333334,7.175642214030525
2018-05-18,4.5432955564239625,7.896136804972745,-3.352841248548782,7.896136804972745,15.008033333333332,7.111896528360587
2018-05-21,4.444873831107349,7.895377778440806,-3.4505039473334573,7.895377778440806,14.2572,6.361822221559193
2018-05-22,4.619464344316625,7.625049990873622,-3.0055856465569972,7.625049990873622,14.564033333333334,6.9389833424597125
2018-05-23,4.503452551395713,7.471509440630651,-2.968056889234938,7.471509440630651,13.188033333333335,5.716523892702684
2018-05-24,5.024872420696699,7.573374346483513,-2.5485019257868142,7.573374346483513,13.083408333333331,5.510033986849818
2018-05-25,5.165974428377857,7.155499103666351,-1.9895246752884939,7.155499103666351,14.564033333333334,7.408534229666984
2018-05-28,5.8982527716999975,6.5822953536472335,-0.684042581947236,6.5822953536472335,14.564033333333334,7.981737979686101
2018-05-29,5.901991506893387,6.212517341305539,-0.310525834412152,6.212517341305539,24.14003333333333,17.927515992027793
2018-05-30,5.94180562273473,8.207215305857341,-2.265409683122611,8.207215305857341,18.6003,10.39308469414266
