date,y_actual,y_hat,error,CV,IVar,VP
1991-12-24,12.355425014391866,13.213118884059309,-0.8576938696674432,13.213118884059309,20.462408333333332,7.249289449274023
1991-12-26,10.738393372649588,14.950311673600535,-4.211918300950947,14.950311673600535,19.866133333333334,4.915821659732799
1991-12-27,11.718846426814054,13.962216976384124,-2.24337054957007,13.962216976384124,20.54083333333333,6.578616356949208
1991-12-30,7.454769426738902,14.740116727331795,-7.2853473005928935,14.740116727331795,25.901408333333332,11.161291606001537
1991-12-31,7.968939142593695,14.785276796947281,-6.816337654353586,14.785276796947281,31.07300833333333,16.287731536386048
1992-01-02,7.7645287746813025,19.317946692165915,-11.553417917484612,19.317946692165915,29.92520833333333,10.607261641167415
1992-01-03,8.815388758735924,18.706087861766612,-9.890699103030688,18.706087861766612,29.296875,10.590787138233388
1992-01-06,8.805236839577478,18.838555024279895,-10.033318184702416,18.838555024279895,29.9568,11.118244975720106
1992-01-07,8.835689420813445,19.117517922886442,-10.281828502072997,19.117517922886442,30.816075,11.69855707711356
1992-01-08,9.140109146031522,19.951344188076398,-10.811235042044876,19.951344188076398,29.203199999999995,9.251855811923598
1992-01-09,9.316839973076792,19.227239229668974,-9.910399256592182,19.227239229668974,29.9568,10.729560770331027
1992-01-10,8.926162995567124,19.557405014415888,-10.631242018848765,19.557405014415888,28.366874999999997,8.809469985584109
1992-01-13,9.71109270417464,18.57392925019077,-8.86283654601613,18.57392925019077,27.03000833333334,8.45607908314257
1992-01-14,8.62356337488061,18.096612998917998,-9.473049624037387,18.096612998917998,24.111675000000005,6.015062001082008
1992-01-15,8.86826021300105,15.683473575590567,-6.815213362589516,15.683473575590567,25.201008333333334,9.517534757742768
1992-01-16,9.54989186943393,16.980936064719252,-7.431044195285322,16.980936064719252,25.9308,8.94986393528075
1992-01-17,9.567935710240656,17.223849450976083,-7.655913740735427,17.223849450976083,22.1952,4.971350549023917
1992-01-20,10.828070763722298,15.63174534568868,-4.803674581966382,15.63174534568868,22.468033333333338,6.836287987644658
1992-01-21,10.49730418755903,15.649912575624466,-5.1526083880654365,15.649912575624466,26.76053333333334,11.110620757708872
1992-01-22,9.189080336684736,17.490221439264054,-8.301141102579319,17.490221439264054,23.380208333333332,5.889986894069278
