date,IVar,CV,VP,RV22_fwd
1990-01-03,27.573008333333338,21.285111821546906,6.287896511786432,35.37374632771873
1990-01-04,30.78403333333333,20.966257650723715,9.817775682609614,35.18540695882256
1990-01-05,33.70100833333333,22.53415840490817,11.166849928425158,33.949565356507826
1990-01-08,34.20563333333334,26.781623623769917,7.424009709563421,36.081700626420755
1990-01-09,41.07,26.588780493275134,14.481219506724866,33.864974880024704
1990-01-10,41.96280000000001,30.837901581982614,11.124898418017395,33.87172324584887
1990-01-11,33.50020833333334,30.01378773899565,3.486420594337691,35.038599708981536
1990-01-12,50.59413333333333,25.15891711691739,25.43521621641594,25.771541991065053
1990-01-15,57.816300000000005,46.33345779002875,11.482842209971253,25.546275494489134
1990-01-16,48.7227,44.26147106457535,4.46122893542465,25.546502379639865
1990-01-17,48.642133333333334,38.496779448628665,10.145353884704669,25.35773437471725
1990-01-18,49.36963333333333,39.243419654788,10.126213678545334,26.757077518101983
1990-01-19,42.1875,39.570657411950634,2.6168425880493658,26.628196558299166
1990-01-22,59.4075,28.524739191290315,30.882760808709683,17.26719937801162
1990-01-23,50.9232,51.52802182860557,-0.6048218286055658,17.293130270451478
1990-01-24,53.72100833333334,40.40036004357744,13.320648289755894,18.334371062321516
1990-01-25,54.74140833333333,42.20014699204193,12.541261341291403,14.907059614801764
1990-01-26,57.553200000000004,47.05576649037246,10.497433509627541,15.139991882679864
1990-01-29,58.25613333333334,46.266383098459464,11.989750234873874,15.204230353531242
1990-01-30,61.880208333333336,39.4770468839254,22.40316144940794,15.389214740936698
1990-01-31,53.59413333333333,41.66648984410688,11.927643489226455,12.90679105301061
1990-02-01,51.54307500000001,40.11274432043295,11.430330679567057,14.866399119385635
1990-02-02,49.28853333333333,34.59681073107806,14.691722602255275,14.777794596231423
1990-02-05,50.1843,34.07591746627297,16.10838253372703,15.846023899764306
1990-02-06,50.79967500000001,34.33167679294325,16.46799820705676,15.492268491473911
1990-02-07,49.167008333333335,35.59038698083729,13.576621352496048,12.699539035464962
1990-02-08,47.08440833333333,36.11555473844395,10.968853594889381,13.488511551194435
1990-02-09,46.76800833333334,33.1326186390098,13.635389694323543,13.704138544823389
1990-02-12,49.532033333333324,32.66195414951791,16.870079183815413,12.583903897129748
1990-02-13,47.04480000000001,35.73743877062236,11.307361229377648,13.048309585012866
1990-02-14,40.516875000000006,32.90821970023867,7.608655299761338,13.47343465569257
1990-02-15,32.373675,27.12423892935853,5.249436070641469,13.073318660610687
1990-02-16,35.984033333333336,23.572000274459157,12.41203305887418,13.271019413565451
1990-02-20,43.244033333333334,26.073907113506632,17.170126219826702,12.308027988043317
1990-02-21,47.56100833333334,31.19692567779284,16.3640826555405,12.531367374069251
1990-02-22,42.33763333333333,32.27604570446572,10.061587628867606,12.009423504210556
1990-02-23,46.76800833333334,29.61757901109629,17.150429322237052,13.099449622293095
1990-02-26,46.25613333333333,31.36227885539896,14.893854477934372,11.323729100532763
1990-02-27,42.90300833333334,32.87154925889164,10.031459074441699,11.451246886151718
1990-02-28,40.29667499999999,28.7323260011012,11.564348998898794,11.725617587504857
1990-03-01,39.967499999999994,27.473478041669086,12.494021958330908,11.677811610796619
