date,IVar,CV,VP,RV22_fwd
1990-01-03,27.573008333333338,19.346507845463513,8.226500487869824,35.37374632771873
1990-01-04,30.78403333333333,19.34621736254811,11.43781597078522,35.18540695882256
1990-01-05,33.70100833333333,20.312180255033304,13.388828078300023,33.949565356507826
1990-01-08,34.20563333333334,24.550255485576795,9.655377847756544,36.081700626420755
1990-01-09,41.07,24.796765982143224,16.273234017856776,33.864974880024704
1990-01-10,41.96280000000001,27.987879870530094,13.974920129469915,33.87172324584887
1990-01-11,33.50020833333334,27.550398899299427,5.949809434033913,35.038599708981536
1990-01-12,50.59413333333333,23.55768063157214,27.036452701761192,25.771541991065053
1990-01-15,57.816300000000005,43.72414580343327,14.092154196566739,25.546275494489134
1990-01-16,48.7227,42.74371865234768,5.978981347652322,25.546502379639865
1990-01-17,48.642133333333334,37.54692592344071,11.095207409892623,25.35773437471725
1990-01-18,49.36963333333333,38.499458879939326,10.870174453394007,26.757077518101983
1990-01-19,42.1875,39.00288368756282,3.1846163124371785,26.628196558299166
1990-01-22,59.4075,26.042757524369993,33.36474247563001,17.26719937801162
1990-01-23,50.9232,48.57664091287643,2.3465590871235733,17.293130270451478
1990-01-24,53.72100833333334,40.36303897745107,13.357969355882268,18.334371062321516
1990-01-25,54.74140833333333,41.72792367391913,13.013484659414203,14.907059614801764
1990-01-26,57.553200000000004,47.0344982448284,10.518701755171605,15.139991882679864
1990-01-29,58.25613333333334,46.69142017253078,11.564713160802555,15.204230353531242
1990-01-30,61.880208333333336,37.23213166801669,24.648076665316644,15.389214740936698
1990-01-31,53.59413333333333,39.00871579613458,14.585417537198751,12.90679105301061
1990-02-01,51.54307500000001,38.56750001599455,12.975574984005462,14.866399119385635
1990-02-02,49.28853333333333,32.60260223618063,16.685931097152704,14.777794596231423
1990-02-05,50.1843,32.39805958681453,17.786240413185467,15.846023899764306
1990-02-06,50.79967500000001,32.654707678945165,18.144967321054843,15.492268491473911
1990-02-07,49.167008333333335,33.709035921403164,15.457972411930172,12.699539035464962
1990-02-08,47.08440833333333,34.26003301068602,12.824375322647306,13.488511551194435
1990-02-09,46.76800833333334,31.876983135038955,14.891025198294386,13.704138544823389
1990-02-12,49.532033333333324,31.314489365490417,18.217543967842907,12.583903897129748
1990-02-13,47.04480000000001,34.256525736712895,12.788274263287114,13.048309585012866
1990-02-14,40.516875000000006,30.748167116685547,9.768707883314459,13.47343465569257
1990-02-15,32.373675,25.000777010583665,7.372897989416334,13.073318660610687
1990-02-16,35.984033333333336,22.355031711429476,13.62900162190386,13.271019413565451
1990-02-20,43.244033333333334,24.616110593865102,18.627922739468232,12.308027988043317
1990-02-21,47.56100833333334,29.035676545096326,18.525331788237015,12.531367374069251
1990-02-22,42.33763333333333,29.941833381289207,12.395799952044122,12.009423504210556
1990-02-23,46.76800833333334,26.86175857174329,19.90624976159005,13.099449622293095
1990-02-26,46.25613333333333,28.082203463510766,18.173929869822565,11.323729100532763
1990-02-27,42.90300833333334,29.65830754855824,13.244700784775098,11.451246886151718
1990-02-28,40.29667499999999,25.457894466671107,14.838780533328887,11.725617587504857
1990-03-01,39.967499999999994,24.55120667403563,15.416293325964364,11.677811610796619
1990-03-02,37.94963333333333,23.831030565853393,14.118602767479938,13.822962900254847
1990-03-05,40.44340833333334,23.339962092252772,17.103446241080565,15.076700644902745
1990-03-06,35.191875,22.384796596948178,12.807078403051825,13.196046386921426
1990-03-07,30.40083333333334,22.805161141299223,7.595672192034115,12.781571394944184
1990-03-08,32.4723,20.264725011790755,12.207574988209242,11.681556054568194
1990-03-09,34.340833333333336,22.678606238480498,11.662227094852838,11.143486655273007
1990-03-12,33.567075,23.349669224225032,10.21740577577497,11.180314404060933
1990-03-13,36.92520833333334,22.210574441250422,14.714633892082915,11.074926972581464
1990-03-14,32.176874999999995,23.005861528889827,9.171013471110168,10.916199864242705
1990-03-15,29.484674999999996,20.583952980035058,8.900722019964938,10.855229053993122
1990-03-16,25.872033333333334,18.0834707675605,7.7885625657728355,11.594659146497229
1990-03-19,27.877008333333333,17.092447326291186,10.784561007042146,12.057527384376227
1990-03-20,30.273633333333333,18.33894290387374,11.934690429459593,12.614373251309674
1990-03-21,33.667500000000004,18.81676942561452,14.850730574385484,12.889173069011978
1990-03-22,43.092299999999994,21.263536558143947,21.828763441856047,12.07212766408606
1990-03-23,34.8843,25.94949629280441,8.934803707195591,12.113950505878414
1990-03-26,31.980675,21.599131603358114,10.381543396641888,12.134927177125029
1990-03-27,36.78500833333334,19.78467911077434,17.000329222558996,14.598983472140018
1990-03-28,32.571075,23.426793550562234,9.144281449437766,15.565446387231862
1990-03-29,28.397633333333335,19.856323523676277,8.541309809657058,15.448963063879635
1990-03-30,32.43940833333333,17.684343262529577,14.755065070803756,15.919666396958258
1990-04-02,43.47213333333334,19.836546271261707,23.635587062071632,15.905820691048918
1990-04-03,34.81613333333333,24.46382850664671,10.352304826686623,14.03018074551529
1990-04-04,40.44340833333334,23.242304824919277,17.20110350841406,13.18784772731478
1990-04-05,37.48867500000001,26.87736563432606,10.611309365673947,13.67051534234877
1990-04-06,39.45813333333334,24.500731410870113,14.95740192246323,13.646878916701775
1990-04-09,41.44083333333334,24.810410722697792,16.630422610635545,13.606239485325736
1990-04-10,39.204675,25.537743798131466,13.666931201868536,20.71444676303662
1990-04-11,26.196075000000004,21.97766336275887,4.218411637241132,21.205709520104637
1990-04-12,32.67,14.92921198449001,17.74078801550999,20.512514852930806
1990-04-16,35.880208333333336,18.624726504906494,17.25548182842684,20.487625906786665
1990-04-17,34.61203333333333,19.893706979782767,14.718326353550562,20.505952964378565
1990-04-18,42.827408333333345,19.244806876212383,23.582601457120962,18.98179055781069
