sample,n_obs,IS_adj_r2,IS_rmse,OOS_mz_r2,OOS_rmse,OOS_mae,OOS_mape,paper_OOS_mz_r2,paper_OOS_rmse,r2_penalty,coef_const,nwse_const,tstat_const,paper_const,coef_VIX2_lag,nwse_VIX2_lag,tstat_VIX2_lag,paper_VIX2_lag,coef_RV22_lag,nwse_RV22_lag,tstat_RV22_lag,paper_RV22_lag,coef_RV5_lag,nwse_RV5_lag,tstat_RV5_lag,paper_RV5_lag,coef_RV1_lag,nwse_RV1_lag,tstat_RV1_lag,paper_RV1_lag
1990–2010 (paper),5252,0.4818,43.537,0.4169,88.366,29.299,0.5941,0.555,46.077,0.1381,2.1874,3.0077,0.727,3.73,0.4045,0.0983,4.113,0.108,0.1677,0.1204,1.393,0.199,0.2289,0.0995,2.301,0.33,0.0177,0.0089,1.99,0.107
1990–2026 (full),9133,0.377,44.481,0.3481,58.723,18.129,0.7208,0.555,46.077,0.2069,2.8567,2.0417,1.399,3.73,0.5055,0.1068,4.733,0.108,0.0639,0.1219,0.524,0.199,0.1733,0.0698,2.483,0.33,0.0255,0.0101,2.532,0.107
