date,VS2,VIX2,CV_vs,CV_vix,VP_vs,VP_vix,RV22_fwd
2016-05-06,19.796226008008336,18.056533333333334,18.62471322172372,17.355721882787968,1.171512786284616,0.7008114505453662,8.051942996821857
2016-05-09,18.14651074640833,17.690408333333334,17.216946284273217,15.700593594533293,0.9295644621351151,1.9898147388000407,8.07795143300437
2016-05-10,16.18826687800833,15.481408333333334,15.9952129298983,15.2636146116219,0.19305394811003218,0.21779372171143407,7.521803968722427
2016-05-11,18.1103995803,17.983008333333334,15.914123941929127,14.975219986400955,2.1962756383708744,3.0077883469323794,7.337712410476266
2016-05-12,17.088676533633333,17.304008333333332,16.831826917418475,16.22938134563258,0.2568496162148577,1.0746269877007535,7.378184023815691
2016-05-13,19.00901338020833,18.850133333333332,15.486443814243986,15.243208979830202,3.5225695659643446,3.60692435350313,6.847059879456234
2016-05-16,17.944003073633336,17.95853333333333,17.10497388362411,16.51266352498389,0.8390291900092279,1.4458698083494426,6.090727935452767
2016-05-17,20.844670848008334,20.202075,16.834565508136176,16.384608095673773,4.010105339872158,3.8174669043262277,5.219867055146695
2016-05-18,21.683585938008335,21.200208333333332,18.553411279281363,17.592821825924577,3.130174658726972,3.607386507408755,5.758851873554061
2016-05-19,22.663443880208334,22.22240833333333,18.284924200802976,17.45335357573164,4.378519679405358,4.76905475760169,5.831496433122641
2016-05-20,20.195743696133334,19.253333333333334,18.882042624564964,18.032576442882306,1.3137010715683708,1.2207568904510282,5.559491892888545
2016-05-23,21.332826669675,20.856033333333333,17.60599252120717,16.525282473751822,3.7268341484678302,4.33075085958151,7.455771940270442
2016-05-24,18.296229172033332,17.328033333333334,18.004059990971545,17.126667688560794,0.29216918106178724,0.20136564477254026,22.507843220929956
2016-05-25,16.535203255208334,16.100833333333334,17.98110704001713,16.73088719738287,-1.4459037848087952,-0.6300538640495361,24.913748910252348
2016-05-26,15.623849946133333,15.030408333333334,15.547863582269965,14.941800288723336,0.07598636386336821,0.08860804460999816,29.701793628540415
2016-05-27,13.881478520833332,14.344533333333331,14.730110105972209,14.120640295565334,-0.848631585138877,0.22389303776799707,33.128587942335855
2016-05-31,17.108682736133336,16.779675,13.757233893001214,13.787989316520894,3.351448843132122,2.9916856834791066,34.409963032702414
2016-06-01,17.622334913633335,16.80333333333333,15.588542012978294,15.053096668250118,2.0337929006550404,1.7502366650832126,34.47185332197026
2016-06-02,15.673524898008331,15.481408333333334,15.703791559686877,14.756055736270413,-0.03026666167854586,0.7253525970629209,34.81148387567469
2016-06-03,14.791727520299998,15.120075000000002,14.535881196303926,13.999082263665914,0.25584632399607266,1.1209927363340881,35.021905353284566
2016-06-06,15.124991949675,15.526875000000002,14.000916318921638,13.795799823590073,1.124075630753362,1.731075176409929,34.78049112480522
2016-06-07,15.903804983008335,16.450208333333336,14.348398566382308,14.153017230953063,1.5554064166260275,2.297191102380273,36.62744205343831
2016-06-08,16.331583380208333,16.520533333333333,14.624867501961948,14.51199736954123,1.706715878246385,2.0085359637921023,36.70397925227666
2016-06-09,18.238388393633333,17.8608,14.992651103835016,14.64952445829661,3.245737289798317,3.2112755417033902,37.202053517426606
2016-06-10,25.36758907203333,24.168408333333335,16.05663013496515,15.327694455990738,9.310958937068179,8.840713877342598,36.4773656513053
2016-06-13,37.289213520833336,36.645075,20.955538047672245,19.401274507776666,16.33367547316109,17.243800492223333,36.05525266430879
2016-06-14,34.14531891140833,35.020833333333336,28.159817462368313,26.442550475555315,5.985501449040019,8.57828285777802,36.05696645342742
2016-06-15,33.83940638020834,33.801633333333335,25.745016335822328,25.107889872428675,8.09439004438601,8.69374346090466,36.15281353725242
2016-06-16,31.365564373008336,31.266408333333334,25.518007127811117,24.37835061325044,5.847557245197219,6.8880577200828945,36.02510925610264
2016-06-17,30.755818434674996,31.395675,24.108043177979017,23.02726242001857,6.647775256695979,8.368412579981431,36.1893602695382
2016-06-20,26.287375263075003,28.121408333333335,23.548907006445155,22.887184892420994,2.7384682566298473,5.234223440912341,35.83289738239096
2016-06-21,27.459074972033335,28.4592,21.290634430097384,21.401077808412097,6.168440541935951,7.058122191587902,35.93590320606027
2016-06-22,36.28531329800834,37.34740833333334,21.63824635084598,21.29945758695767,14.647066947162362,16.047950746375673,35.96208277789385
2016-06-23,26.748020663008333,24.796875,26.909802510631117,26.242685678479333,-0.16178184762278391,-1.445810678479333,34.0142533384288
2016-06-24,49.04235828800833,55.29813333333334,22.89899451754581,20.77041043036345,26.14336377046252,34.527722902969884,16.862510665372447
2016-06-27,43.187102083333336,47.40187500000001,50.41339588702123,50.72190814359125,-7.226293803687895,-3.320033143591239,14.146774628454907
2016-06-28,28.171366284675006,29.296875,35.64118137241608,37.22694769232757,-7.469815087741072,-7.93007269232757,9.370524805270508
2016-06-29,24.25897909453333,23.074133333333336,28.76351187760953,29.216418972716188,-4.5045327830762005,-6.142285639382852,5.844837042201353
2016-06-30,22.425990453075002,20.358075000000003,25.812654302466857,25.505693639603045,-3.386663849391855,-5.147618639603042,4.846638947175181
2016-07-01,19.124198593633334,18.17940833333333,22.871582735510508,22.433592013070868,-3.7473841418771734,-4.254183679737537,4.803218372195482
2016-07-05,20.27365649613333,20.228033333333332,18.34821110921388,17.919457401627103,1.9254453869194492,2.3085759317062298,4.399354053901417
2016-07-06,19.942609058008333,18.650133333333336,19.099860599653766,18.9520782054221,0.842748458354567,-0.3019448720887645,4.764446794520132
2016-07-07,19.651047609675,18.154799999999998,18.39311833123406,17.331306689660675,1.2579292784409404,0.8234933103393232,4.758622084044147
2016-07-08,15.159680251408332,14.519999999999998,17.66070975762599,16.34352332124344,-2.501029506217659,-1.8235233212434405,2.9111233655334043
2016-07-11,15.281718173008334,15.277633333333332,16.520318393329124,15.64114681054483,-1.238600220320789,-0.36351347721149807,2.7472949738803996
2016-07-12,15.253676932033331,15.300208333333336,15.295473600085495,15.00911304349264,-0.04179666805216442,0.29109528984069577,2.38945219302696
2016-07-13,14.055592008008333,14.170133333333332,15.554453107000818,15.258778575428334,-1.498861098992485,-1.0886452420950015,2.394043306596376
2016-07-14,13.96441875,13.696033333333334,14.365900260231184,14.218148532815217,-0.40148151023118395,-0.5221151994818829,2.1887791895955697
2016-07-15,12.8672472603,13.377408333333333,14.544573901790509,14.161080283993197,-1.6773266414905095,-0.7836719506598637,2.3243193223939276
2016-07-18,13.239976880208332,12.896133333333331,13.532063666466495,13.565585415459752,-0.29208678625816376,-0.6694520821264209,2.2298939302807264
2016-07-19,12.724105880208333,11.940075,13.805878943238758,13.329367586063466,-1.0817730630304254,-1.3892925860634655,2.256142050723612
2016-07-20,11.93171741300833,11.544408333333331,13.355682111073094,12.640933583362358,-1.4239646980647631,-1.0965252500290266,2.0982754166729616
2016-07-21,14.1004118412,13.525633333333333,13.025105264483726,12.552379640762101,1.0753065767162742,0.9732536925712321,1.9063059958143396
2016-07-22,12.417448680299998,12.040033333333334,14.339296442654572,13.661378979488285,-1.9218477623545738,-1.6213456461549516,1.7420598431774803
2016-07-25,14.614886513633332,13.803074999999998,13.341860203614628,12.853601149846682,1.2730263100187038,0.949473850153316,1.9034035093250006
2016-07-26,14.216354296874998,14.191875000000001,14.55490315227775,13.746608761959406,-0.3385488554027525,0.4452662380405954,1.9060208631731341
2016-07-27,13.701375520833333,13.717408333333333,14.223782628360851,13.88125191090292,-0.5224071075275187,-0.16384357756958678,1.942780576225171
2016-07-28,13.225401399675002,13.483200000000002,13.509653559603846,13.195570832569938,-0.2842521599288439,0.2876291674300635,2.149836861259179
2016-07-29,11.466329151408337,11.741408333333332,13.162984248886373,12.99206455504581,-1.6966550974780361,-1.250656221712477,2.157386335070073
2016-08-01,12.998717732033334,12.896133333333331,11.964988520634916,11.868919810283554,1.033729211398418,1.0272135230497774,2.197348725353488
2016-08-02,14.557159744533331,14.896408333333332,12.807076901455313,12.431236490268478,1.7500828430780189,2.4651718430648533,1.9134178879573545
2016-08-03,13.930997520833335,13.781633333333332,13.96171181567619,13.745896734446545,-0.030714294842855594,0.03573659888678726,2.1204786206836674
2016-08-04,13.128617971408332,12.8547,13.381138010190547,12.955313481388824,-0.2525200387822153,-0.10061348138882487,2.198663520318287
2016-08-05,11.048642520833333,10.811008333333334,12.862813840327096,12.403297948184047,-1.814171319493763,-1.5922896148507135,1.5418074151413395
2016-08-08,11.316403098008335,11.020833333333334,12.190186113237356,11.781207701976403,-0.8737830152290211,-0.7603743686430686,1.641191224987797
2016-08-09,11.425427538008334,11.329633333333334,11.827659260788352,11.466576964993527,-0.4022317227800176,-0.13694363166019308,7.954702130802266
