date,VIX2,CV,VP,RV22_fwd
1990-01-03,27.573008333333338,19.522214339960755,8.050793993372583,35.37374632771873
1990-01-04,30.78403333333333,19.424860550635202,11.359172782698128,35.18540695882256
1990-01-05,33.70100833333333,20.24893334590741,13.452074987425917,33.949565356507826
1990-01-08,34.20563333333334,24.445842213252877,9.759791120080461,36.081700626420755
1990-01-09,41.07,24.699598349170966,16.370401650829034,33.864974880024704
1990-01-10,41.96280000000001,27.597937810744288,14.364862189255721,33.87172324584887
1990-01-11,33.50020833333334,27.13518403654873,6.365024296784611,35.038599708981536
1990-01-12,50.59413333333333,23.459285577775255,27.134847755558077,25.771541991065053
1990-01-15,57.816300000000005,43.240598321507804,14.575701678492202,25.546275494489134
1990-01-16,48.7227,42.00047912901239,6.722220870987613,25.546502379639865
1990-01-17,48.642133333333334,37.09858197934753,11.543551353985805,25.35773437471725
1990-01-18,49.36963333333333,38.08680659750022,11.282826735833112,26.757077518101983
1990-01-19,42.1875,38.57892975724776,3.6085702427522435,26.628196558299166
1990-01-22,59.4075,25.53792159357168,33.86957840642832,17.26719937801162
1990-01-23,50.9232,47.76394040794889,3.1592595920511144,17.293130270451478
1990-01-24,53.72100833333334,39.89188311550031,13.829125217833024,18.334371062321516
1990-01-25,54.74140833333333,41.140893276005215,13.600515057328117,14.907059614801764
1990-01-26,57.553200000000004,46.52875328464268,11.024446715357321,15.139991882679864
1990-01-29,58.25613333333334,46.08557387821147,12.170559455121868,15.204230353531242
1990-01-30,61.880208333333336,36.231601015770366,25.64860731756297,15.389214740936698
1990-01-31,53.59413333333333,37.87140426516184,15.722729068171489,12.90679105301061
1990-02-01,51.54307500000001,37.81850990829432,13.724565091705692,14.866399119385635
1990-02-02,49.28853333333333,31.798739882213646,17.489793451119688,14.777794596231423
1990-02-05,50.1843,31.700016118365,18.484283881635,15.846023899764306
1990-02-06,50.79967500000001,31.925940175782074,18.873734824217934,15.492268491473911
1990-02-07,49.167008333333335,32.974066685150845,16.19294164818249,12.699539035464962
1990-02-08,47.08440833333333,33.59429406541654,13.490114267916788,13.488511551194435
1990-02-09,46.76800833333334,31.294291429333068,15.473716904000273,13.704138544823389
1990-02-12,49.532033333333324,30.727046325203066,18.804987008130258,12.583903897129748
1990-02-13,47.04480000000001,33.603772707669066,13.441027292330944,13.048309585012866
1990-02-14,40.516875000000006,30.140387015653268,10.376487984346738,13.47343465569257
1990-02-15,32.373675,24.542041983458105,7.831633016541893,13.073318660610687
1990-02-16,35.984033333333336,22.232710854987474,13.751322478345863,13.271019413565451
1990-02-20,43.244033333333334,24.379782819393682,18.864250513939652,12.308027988043317
1990-02-21,47.56100833333334,28.54315020315842,19.017858130174922,12.531367374069251
1990-02-22,42.33763333333333,29.27849768080598,13.059135652527349,12.009423504210556
1990-02-23,46.76800833333334,26.384022678297704,20.383985655035637,13.099449622293095
1990-02-26,46.25613333333333,27.414519354114972,18.84161397921836,11.323729100532763
1990-02-27,42.90300833333334,29.045060935718528,13.857947397614812,11.451246886151718
1990-02-28,40.29667499999999,24.909409162057905,15.387265837942088,11.725617587504857
1990-03-01,39.967499999999994,24.11117778498023,15.856322215019762,11.677811610796619
1990-03-02,37.94963333333333,23.384919386117073,14.564713947216259,13.822962900254847
1990-03-05,40.44340833333334,22.979978173122483,17.463430160210855,15.076700644902745
1990-03-06,35.191875,21.861731175564923,13.33014382443508,13.196046386921426
1990-03-07,30.40083333333334,22.548995292413615,7.8518380409197235,12.781571394944184
1990-03-08,32.4723,20.205850864681135,12.266449135318862,11.681556054568194
1990-03-09,34.340833333333336,22.580749346372144,11.760083986961192,11.143486655273007
1990-03-12,33.567075,23.18625665900875,10.380818340991251,11.180314404060933
1990-03-13,36.92520833333334,22.06359280595999,14.861615527373349,11.074926972581464
1990-03-14,32.176874999999995,22.686980989630424,9.489894010369571,10.916199864242705
1990-03-15,29.484674999999996,20.44478934307154,9.039885656928455,10.855229053993122
1990-03-16,25.872033333333334,18.005337680155524,7.8666956531778105,11.594659146497229
1990-03-19,27.877008333333333,17.161478153461445,10.715530179871887,12.057527384376227
1990-03-20,30.273633333333333,18.349526403663607,11.924106929669726,12.614373251309674
1990-03-21,33.667500000000004,18.716675993895148,14.950824006104856,12.889173069011978
1990-03-22,43.092299999999994,21.056212021505015,22.03608797849498,12.07212766408606
1990-03-23,34.8843,25.404458587736684,9.479841412263319,12.113950505878414
1990-03-26,31.980675,21.352676250303368,10.627998749696633,12.134927177125029
1990-03-27,36.78500833333334,19.63448683001486,17.150521503318476,14.598983472140018
1990-03-28,32.571075,23.12462474667035,9.446450253329651,15.565446387231862
1990-03-29,28.397633333333335,19.679311478787923,8.718321854545412,15.448963063879635
1990-03-30,32.43940833333333,17.649150163707986,14.790258169625346,15.919666396958258
1990-04-02,43.47213333333334,19.655702656157846,23.816430677175493,15.905820691048918
1990-04-03,34.81613333333333,23.858343533385213,10.95778979994812,14.03018074551529
1990-04-04,40.44340833333334,23.01552640255109,17.42788193078225,13.18784772731478
1990-04-05,37.48867500000001,26.494995000725623,10.993679999274384,13.67051534234877
1990-04-06,39.45813333333334,24.22144311510652,15.236690218226823,13.646878916701775
1990-04-09,41.44083333333334,24.436500199678346,17.004333133654992,13.606239485325736
1990-04-10,39.204675,25.084486943796865,14.120188056203137,20.71444676303662
1990-04-11,26.196075000000004,21.515408856583004,4.680666143417,21.205709520104637
1990-04-12,32.67,14.917053897237068,17.752946102762934,20.512514852930806
1990-04-16,35.880208333333336,18.383346388224606,17.49686194510873,20.487625906786665
1990-04-17,34.61203333333333,19.53433999588569,15.077693337447638,20.505952964378565
1990-04-18,42.827408333333345,18.93327668288493,23.894131650448415,18.98179055781069
1990-04-19,42.03763333333334,24.518971611156218,17.51866172217712,18.969801367887097
1990-04-20,45.357408333333325,24.90409223638746,20.453316096945866,18.333294966491824
1990-04-23,48.642133333333334,26.508860363020062,22.13327297031327,17.09083204292029
1990-04-24,39.240833333333335,29.143788395065567,10.097044938267768,17.149457632295647
1990-04-25,36.26163333333333,24.713871343933153,11.547761989400176,18.420108884755813
1990-04-26,34.171875,22.37914566641615,11.79272933358385,22.484014858649218
1990-04-27,41.033008333333335,20.628014070757732,20.404994262575602,18.795753023507057
1990-04-30,31.752533333333332,28.054857824940168,3.6976755083931643,17.937609614464584
1990-05-01,28.305408333333332,23.132436779575286,5.172971553758046,17.96736267816359
1990-05-02,31.1052,21.6382048293864,9.4669951706136,19.034993891655482
1990-05-03,26.43300833333333,23.836407380946454,2.5966009523868756,19.105012844022916
1990-05-04,24.883200000000002,21.468030292684688,3.4151697073153144,18.679284470456256
1990-05-07,25.960208333333327,17.7276839855149,8.232524347818426,18.407973397168412
1990-05-08,28.490008333333332,17.59631705359721,10.893691279736121,19.36089214026087
1990-05-09,28.954133333333335,19.058145322033702,9.895988011299632,20.227830196160294
1990-05-10,28.799008333333333,18.03439436028919,10.764613973044142,21.267361674595772
1990-05-11,32.70300833333333,17.961718682753084,14.741289650580246,14.28416247588134
1990-05-14,33.801633333333335,29.997070261663477,3.8045630716698575,13.981254999882212
1990-05-15,31.655008333333328,27.94260882766644,3.7123995056668875,13.990970598937746
1990-05-16,26.137008333333338,26.17680307837802,-0.039794745044680724,16.5904544132707
1990-05-17,24.854408333333335,24.079228661317728,0.7751796720156072,16.78260340374274
1990-05-18,24.653333333333332,23.561886982869567,1.091446350463766,16.82134460762478
1990-05-21,23.29653333333333,16.06686893462149,7.22966439871184,16.37783643526397
1990-05-22,26.522133333333333,16.226127417639916,10.296005915693417,19.511078927995566
1990-05-23,24.596033333333335,17.406044518124208,7.1899888152091265,20.012205140157825
1990-05-24,26.107499999999998,16.215899512204974,9.891600487795024,20.162863375984326
1990-05-25,24.99853333333333,16.8953007083989,8.103232624934432,19.56590823569348
1990-05-29,29.296875,18.811127332563675,10.485747667436325,15.967543453185277
1990-05-30,25.346133333333338,25.51736469039249,-0.1712313570591526,15.958424069048812
1990-05-31,25.143075,21.440221226419467,3.7028537735805322,16.159919928967103
1990-06-01,24.339008333333336,21.37490127060973,2.964107062723606,15.924382215525336
1990-06-04,28.182675000000003,21.29167405092445,6.891000949075554,15.209871488462428
1990-06-05,29.98840833333333,24.212733755242375,5.775674578090953,15.600000313778638
1990-06-06,25.288033333333342,20.0667187918217,5.221314541511642,15.415484414060964
1990-06-07,23.744533333333333,18.387856379837615,5.356676953495718,15.614412720778066
