date,front_price,vix_spot,vix_basis,total_oi,rolling_oi,ts_slope,ts_spread,log_ts
2010-01-22,24.75,27.31,-2.5599999999999987,53886.0,34796.600823045264,0.0242424242424243,0.6000000000000014,0.023953241022493015
2010-01-29,24.65,24.62,0.029999999999997584,49458.0,35560.51851851852,0.026369168356998058,0.6500000000000021,0.02602749524477545
2010-02-05,26.1,26.11,-0.00999999999999801,52689.0,36242.19672131148,-0.0038314176245211272,-0.10000000000000142,-0.003838776307165713
2010-02-12,24.45,22.73,1.7199999999999989,47425.0,37036.91803278688,0.06134969325153374,1.5,0.0595413936910167
2010-02-19,21.35,20.02,1.3300000000000018,36540.0,37645.7366255144,0.1522248243559719,3.25,0.14169470326368352
2010-02-26,20.4,19.5,0.8999999999999986,44917.0,38318.831275720164,0.19117647058823542,3.900000000000002,0.17494144949633225
2010-03-05,18.55,17.42,1.129999999999999,55177.0,39091.22222222222,0.2749326145552559,5.099999999999998,0.24289332588449775
2010-03-12,18.35,17.58,0.7700000000000031,71389.0,40245.53086419753,0.29427792915531326,5.399999999999999,0.25795295598007084
2010-03-19,20.2,16.97,3.2300000000000004,57029.0,41350.325102880655,0.17326732673267328,3.5,0.15979244373392637
2010-03-26,19.9,17.77,2.129999999999999,60281.0,42313.67901234568,0.19346733668341717,3.8500000000000014,0.1768627987502036
2010-04-02,18.8,17.47,1.3300000000000018,63804.0,42967.86885245902,0.26595744680851063,5.0,0.23582871084152549
2010-04-09,17.2,16.14,1.0599999999999987,68133.0,44201.46090534979,0.3662790697674419,6.300000000000001,0.3120910373307059
2010-04-16,18.2,18.36,-0.16000000000000014,74949.0,45433.786008230454,0.31043956043956056,5.650000000000002,0.2703626232516007
2010-04-23,18.5,16.62,1.879999999999999,60034.0,46554.11111111111,0.3108108108108108,5.75,0.270645885299213
2010-04-30,21.6,22.05,-0.4499999999999993,69390.0,47599.983539094654,0.1944444444444444,4.199999999999999,0.17768117723745241
2010-05-07,32.95,40.95,-8.0,92662.0,48869.2962962963,-0.06373292867981795,-2.1000000000000014,-0.06585451059711944
2010-05-14,30.1,31.24,-1.139999999999997,93496.0,50205.32786885246,-0.03322259136212624,-1.0,-0.03378699757738321
2010-05-21,35.75,40.1,-4.350000000000001,72216.0,51407.602459016394,-0.07972027972027976,-2.8500000000000014,-0.08307761136869046
2010-05-28,30.4,32.07,-1.6700000000000017,82181.0,52541.75,0.03453947368421055,1.0500000000000007,0.033956374734273605
2010-06-04,33.55,35.48,-1.9299999999999997,85320.0,53663.11934156378,-0.055141579731743606,-1.8499999999999979,-0.05672018253445581
2010-06-11,29.3,28.79,0.5100000000000016,87937.0,54995.444444444445,0.05460750853242313,1.5999999999999979,0.05316866788067808
2010-06-18,26.85,23.95,2.900000000000002,68679.0,56021.06995884774,0.08379888268156424,2.25,0.0804723532225732
2010-06-25,29.75,28.53,1.2199999999999989,73153.0,56790.22131147541,0.047058823529411715,1.3999999999999986,0.04598511324182344
2010-07-02,32.05,30.12,1.9299999999999962,74276.0,57669.401639344265,0.08736349453978173,2.8000000000000043,0.0837559538398539
2010-07-09,26.55,24.98,1.5700000000000003,82768.0,58477.02057613169,0.21845574387947272,5.800000000000001,0.19758427325896177
2010-07-16,28.1,26.25,1.8500000000000014,91823.0,59560.86008230453,0.21708185053380788,6.100000000000001,0.19645606772885946
2010-07-23,26.6,23.47,3.1300000000000026,82512.0,60546.02057613169,0.22180451127819542,5.899999999999999,0.20032887354803838
2010-07-30,25.45,23.5,1.9499999999999993,90261.0,61514.17695473251,0.2141453831041257,5.449999999999999,0.19404044090716807
2010-08-06,23.7,21.74,1.9600000000000009,96347.0,62599.300411522636,0.289029535864979,6.850000000000001,0.25388963747651894
2010-08-13,26.75,26.24,0.5100000000000016,106530.0,63968.72427983539,0.205607476635514,5.5,0.18698356989976597
2010-08-20,29.6,25.49,4.110000000000003,93433.0,65119.19341563786,0.10810810810810796,3.1999999999999957,0.10265415406008316
2010-08-27,27.55,24.45,3.1000000000000014,95086.0,66010.5081967213,0.18511796733212332,5.099999999999998,0.16984232012351647
2010-09-03,23.6,21.31,2.2900000000000027,110021.0,67052.56967213115,0.3622881355932202,8.549999999999997,0.30916573865206387
2010-09-10,23.05,21.99,1.0600000000000023,119413.0,68223.16872427984,0.3904555314533621,8.999999999999996,0.32963141392402134
2010-09-17,25.05,22.01,3.039999999999999,108490.0,69667.82716049382,0.2634730538922155,6.599999999999998,0.23386432105931126
2010-09-24,24.2,21.71,2.4899999999999984,117774.0,71039.48971193416,0.30578512396694224,7.400000000000002,0.2668044874302258
2010-10-01,24.75,22.5,2.25,113611.0,72272.658436214,0.30303030303030304,7.5,0.26469255422708216
2010-10-08,21.95,20.71,1.2399999999999984,122798.0,73580.10699588478,0.4328018223234624,9.5,0.3596318436252692
2010-10-15,20.95,19.03,1.9199999999999982,138015.0,75293.82304526749,0.42720763723150357,8.95,0.35571983402849394
2010-10-22,21.1,18.78,2.3200000000000003,118217.0,76710.4609053498,0.36255924170616105,7.649999999999999,0.30936472676133847
2010-10-29,21.75,21.2,0.5500000000000007,131118.0,78127.15637860082,0.2896551724137931,6.300000000000001,0.25437487443401235
2010-11-05,18.55,18.26,0.28999999999999915,142728.0,79851.79423868313,0.4016172506738544,7.449999999999999,0.3376267489680379
2010-11-12,20.35,20.61,-0.259999999999998,164164.0,81837.72839506173,0.36117936117936106,7.349999999999998,0.3083515013046887
2010-11-19,20.5,18.04,2.460000000000001,143087.0,83666.5081967213,0.31463414634146336,6.449999999999999,0.2735584112106437
2010-11-26,21.25,22.22,-0.9699999999999989,142985.0,85122.24279835391,0.3035294117647058,6.449999999999999,0.2650755178228669
2010-12-03,19.05,18.01,1.0399999999999991,146637.0,86882.17283950618,0.39370078740157477,7.5,0.33196264611523785
2010-12-10,18.05,17.61,0.4400000000000013,149945.0,88893.50205761316,0.39889196675900274,7.199999999999999,0.3356804709424789
2010-12-17,17.6,16.11,1.490000000000002,149004.0,90757.34016393442,0.42045454545454536,7.399999999999999,0.35097692282409465
2010-12-24,19.85,16.47,3.3800000000000026,139802.0,92051.0693877551,0.2846347607052896,5.649999999999999,0.2504744450311809
2010-12-31,19.7,17.75,1.9499999999999993,142609.0,93870.2581967213,0.33502538071065996,6.600000000000001,0.2889503034397761
2011-01-07,18.7,17.14,1.5599999999999987,150014.0,95597.5224489796,0.3689839572192515,6.900000000000002,0.31406882762497595
2011-01-14,16.25,15.46,0.7899999999999991,163040.0,97737.71836734694,0.5015384615384615,8.149999999999999,0.40649022352340963
2011-01-21,18.85,18.47,0.38000000000000256,146988.0,99710.51639344262,0.312997347480106,5.899999999999999,0.27231257512067947
2011-01-28,19.4,20.04,-0.6400000000000006,164632.0,101867.09426229508,0.25257731958762897,4.900000000000002,0.2252032842772205
2011-02-04,17.25,15.93,1.3200000000000003,179066.0,104220.13469387755,0.3188405797101449,5.5,0.27675300191959074
2011-02-11,16.6,15.69,0.9100000000000019,186145.0,107159.1836734694,0.2981927710843373,4.949999999999999,0.2609731211872592
2011-02-18,18.6,16.43,2.1700000000000017,158631.0,109711.00408163265,0.22043010752688158,4.099999999999998,0.19920334376820126
2011-02-25,20.15,19.22,0.9299999999999997,162246.0,111643.22950819672,0.17866004962779164,3.6000000000000014,0.16437824208795834
2011-03-04,20.05,19.06,0.990000000000002,174646.0,113604.0737704918,0.19700748129675807,3.9499999999999993,0.17982467659536747
2011-03-11,21.3,20.08,1.2200000000000024,196567.0,116277.97950819672,0.16666666666666669,3.5500000000000007,0.15415067982725836
2011-03-18,23.35,24.44,-1.0899999999999999,175462.0,118843.36885245901,0.0706638115631691,1.6499999999999986,0.06827884075329431
2011-03-25,19.75,17.91,1.8399999999999999,182092.0,120903.66530612245,0.22278481012658222,4.399999999999999,0.2011308887514507
2011-04-01,19.05,17.4,1.6500000000000021,188163.0,123265.60816326531,0.2519685039370079,4.800000000000001,0.22471711576164025
2011-04-08,18.65,17.87,0.7799999999999976,182481.0,125538.73877551021,0.3002680965147454,5.600000000000001,0.2625704712936678
2011-04-15,16.75,15.32,1.4299999999999997,200623.0,128162.43265306123,0.44477611940298506,7.449999999999999,0.3679543748915653
2011-04-22,17.9,14.69,3.209999999999999,190068.0,130313.82857142857,0.3491620111731844,6.25,0.29948366725187237
2011-04-29,16.7,14.75,1.9499999999999993,211584.0,132818.25,0.3712574850299401,6.199999999999999,0.31572819113748457
2011-05-06,18.15,18.4,-0.25,221473.0,135451.43032786885,0.2975206611570249,5.400000000000002,0.2604552597515671
2011-05-13,17.35,17.07,0.28000000000000114,236562.0,138656.97540983607,0.32276657060518715,5.599999999999998,0.2797254301136859
2011-05-20,18.05,17.43,0.620000000000001,238310.0,141594.14693877552,0.299168975069252,5.399999999999999,0.2617248101133983
2011-05-27,17.1,15.98,1.120000000000001,237192.0,144696.51020408163,0.3362573099415204,5.75,0.28987265383159955
2011-06-03,17.95,17.95,0.0,243840.0,147562.79918032786,0.2924791086350975,5.25,0.2565621637379764
