date,Logic Gate,Buy-and-Hold,MA Trend,Model_A_d5bps,Model_A_d10bps,Model_A_d20bps,Model_B_d5bps,Model_B_d10bps,Model_B_d20bps,Model_C_d5bps,Model_C_d10bps,Model_C_d20bps
2006-08-29,0.0,0.000958772771,-0.000958772771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,0.0,0.000383141762,-0.000383141762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-01,0.0,0.005361930295,-0.005361930295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-05,0.0,0.001523809524,-0.001523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-06,-0.0,-0.008938759985,0.008938759985,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-09-07,-0.0,-0.004989445404,0.004989445404,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-09-08,0.0,0.00231436837,-0.00231436837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-11,0.0,0.000962093515,-0.000962093515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-12,0.0,0.010188389081,-0.010188389081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-13,0.0,0.002854424358,-0.002854424358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-14,0.0,0.000379506641,-0.000379506641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-15,0.0,0.003884673748,-0.003884673748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-18,0.0,0.001501219741,-0.001501219741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-19,-0.0,-0.002810567735,0.002810567735,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-09-20,0.0,0.004509582864,-0.004509582864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-21,-0.0,-0.004676393565,0.004676393565,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-09-22,-0.0,-0.003194888179,0.003194888179,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-09-25,0.0,0.007352941176,-0.007352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-26,0.0,0.008235073929,-0.008235073929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-27,0.0,0.000742528309,-0.000742528309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-09-28,-0.0,-0.000370988685,0.000370988685,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-09-29,-0.0,-0.00129894229,0.00129894229,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-10-02,-0.0,-0.003716090673,0.003716090673,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-10-03,0.0,0.002051473331,-0.002051473331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-04,0.0,0.01116694584,-0.01116694584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-05,0.0,0.001840603718,-0.001840603718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-06,-0.0,-0.001469777696,0.001469777696,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-10-09,0.0,0.000367985281,-0.000367985281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-10,0.0,0.001103549752,-0.001103549752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-11,-0.0,-0.001286055484,0.001286055484,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-10-12,0.0,0.008646063282,-0.008646063282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-13,0.0,0.002006200985,-0.002006200985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-16,0.0,0.001820167455,-0.001820167455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-17,-0.0,-0.003088662791,0.003088662791,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-10-18,0.0,0.000546746856,-0.000546746856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-19,0.0,0.001275045537,-0.001275045537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-20,0.0,0.000545752228,-0.000545752228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-23,0.0,0.004181818182,-0.004181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-24,0.0,0.002896976281,-0.002896976281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-25,0.0,0.003249684058,-0.003249684058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-26,0.0,0.002699298182,-0.002699298182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-10-27,-0.0,-0.00592246949,0.00592246949,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-10-30,-0.0,-0.001083228019,0.001083228019,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-10-31,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-11-01,-0.0,-0.007410084945,0.007410084945,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
2006-11-02,-0.0,-0.001274581209,0.001274581209,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
