date,alpha,beta,se_alpha,se_beta,t_alpha,t_beta,r2,r2_adj,n_contracts,residual_std
2004-04-05,17.806866995073893,5.3532924317062225,0.2243152241036223,0.596470429231672,79.38322985535756,8.974950256296742,0.9757721806110223,0.9636582709165336,4,0.22826907622337775
2004-04-06,18.09596238244514,5.16813210927004,0.30898853989712655,0.8267990051093445,58.56515710411118,6.250772046570802,0.9513052045576327,0.926957806836449,4,0.3164157615689831
2004-04-07,18.37742946708464,5.349366771159872,0.25890204064318384,0.6971585195298885,70.98217310852418,7.673099619821162,0.9671465772964479,0.9507198659446718,4,0.2668023818705263
2004-04-08,18.349316614420065,5.223418495297809,0.31354947352184553,0.8496727775272834,58.52128025704255,6.147564843137607,0.9497393400508772,0.9246090100763158,4,0.3251695482509358
2004-04-12,18.108907299596964,5.576727944469319,0.2431204821220105,0.6758894251494975,74.48532160490277,8.250947177100489,0.9714604253933886,0.957190638090083,4,0.25866270505105077
2004-04-13,18.688263322884012,5.182199059561128,0.27694102073707505,0.774900433474022,67.48102275764505,6.687567635403649,0.9571950433054964,0.9357925649582446,4,0.2965541918684232
2004-04-14,18.85743842364532,4.4801600985221555,0.1829639916150516,0.5152756595078803,103.06639168279932,8.694686069202223,0.9742259956443373,0.961338993466506,4,0.19719585922770172
2004-04-15,18.795069413345278,4.841648007165251,0.11727508561846167,0.33243440860191226,160.2648108439029,14.564220435325298,0.9906592913565879,0.9859889370348819,4,0.12722256064591847
2004-04-16,18.549270935960593,5.119388490819503,0.027890251884072466,0.07957737727406193,665.0807964396223,64.33220930602542,0.9995169820832899,0.9992754731249348,4,0.03045424133100476
2004-04-19,18.634051948051944,5.293753246753241,0.18330916736993427,0.5334530702398463,101.65368276670398,9.923559432084835,0.9800949534024969,0.9701424301037453,4,0.20415234952892866
2004-04-20,18.84659561128526,5.017648454993278,0.11955299997190444,0.35022879318613964,157.64218058697236,14.32677310550677,0.9903501183389156,0.9855251775083734,4,0.1340324669412521
2004-04-21,18.550217644424535,5.339552619794006,0.275555295702147,0.8126243760252763,67.3194017090342,6.570751231843335,0.9557275018226099,0.9335912527339149,4,0.310991134750522
2004-04-22,17.176408419167036,7.038382221227035,0.37747602671822705,1.1206511820588232,45.50330935847388,6.28061821011633,0.9517446307730911,0.9276169461596366,4,0.4288729123197592
2004-04-23,17.46451500223914,6.924210927004026,0.5506449611792401,1.6457464065427134,31.716471108421302,4.207337715869603,0.8984858693102071,0.8477288039653107,4,0.6298267164784047
2004-04-26,17.332787281683835,7.294531571876398,0.5744089886616058,1.7518737602017698,30.174993121312166,4.163845442285898,0.8965745964906916,0.8448618947360373,4,0.6704416267816532
2004-04-27,17.054482758620686,7.923618674429022,0.6300651427424118,1.9347134098227243,27.067808710047995,4.095499950638712,0.8934646975867439,0.8401970463801158,4,0.7404143125520832
2004-04-28,17.731401701746535,6.935333631885349,0.6585082941469017,2.035877043211314,26.926618630852005,3.40655819810504,0.8529913189382066,0.7794869784073098,4,0.7791296084147129
2004-04-29,18.213714285714286,6.408967980295557,0.698110598346359,2.173116304459026,26.09001256943785,2.949206154840848,0.8130459690499521,0.7195689535749281,4,0.8316510375607444
2004-04-30,18.638557098074337,5.743895656068069,0.6447171488797931,2.0207173218627243,28.90966547184163,2.8425033001514874,0.8015838570864481,0.7023757856296722,4,0.7733279870459829
2004-05-03,18.111205553067613,6.3288190774742645,0.6402094633396064,2.048539170148885,28.289499906158554,3.0894303461203987,0.8267585287951279,0.7401377931926918,4,0.7839754010599339
